name,response_code,result_count,response_code2,result_count2,analysis_runtime
oneops/oneops,200,2,200,1,44.901817788999324
oracle/graalvm-reachability-metadata,200,2,200,2,18.924903139999515
otto15/ITMO-WEB-LAB3,200,1,200,1,8.557392385999265
pawelWielkolinski/SDABetApp,200,1,200,6,12.171205573999032
pedroafonsodias/springboot,200,1,200,2,4.540625156998431
pedroermarinho/teach-sync,200,1,200,3,5.764365260998602
philosopherstonerush/java-notes,200,2,200,1,5.107391497000208
phpbae/JOOQ,200,1,200,2,7.8788396769996325
picodotdev/blog-ejemplos,200,1,200,13,15.62169071000244
poemp/metadata-gather,200,1,200,5,27.845838801000355
polytech-attendance/taskbot,200,1,200,4,6.007117004002794
ppretki/mysql-spatial-data,200,1,200,1,5.181819755998731
pratyush05/trade-app,200,1,200,3,6.0474144619984145
pro100bat9/tg_chat,200,1,200,4,11.581649710999045
propan/tea-buddy,200,1,200,4,6.154104149998602
puzink/Wallet,200,1,200,2,4.904140454000299
pvkvetkin/trackcontent,200,1,200,2,8.285847061000823
pvorb/npm-stat.com,200,1,200,1,3.9004170869993686
qiao-zhi/springboot-ssm,200,1,200,1,7.463659592998738
qimok/sharding-jdbc-test,200,1,200,5,9.46678135700131
quarkiverse/quarkus-jooq,200,2,200,6,7.706990473998303
quickmsg/smqtt,200,1,200,3,5.45455252100146
quinscape/automaton,200,1,200,38,22.427653565999208
quinscape/domainql,200,1,200,7,27.947512482001912
quinscape/domainqlstarter,200,1,200,6,7.973095020999608
r0masaN/PurchaseTask,200,1,200,2,11.564095456997165
raissabeccarelli/UniBite,200,1,200,13,5.6418945909972535
ralscha/attic,200,2,200,15,39.74571564300277
ralscha/blog2019,200,2,200,12,9.842326204001438
ralscha/blog2020,200,1,200,1,4.319673599999078
ralscha/otodo,200,1,200,11,19.632119498000975
ralscha/realworld-spring-boot-jooq,200,1,200,11,10.718827861997852
ralscha/springsecuritytotp,200,1,200,3,4.669326715000352
ralscha/webauthn-demo,200,1,200,3,4.851072951998503
ramoncunha/rinha-backend,200,1,200,1,7.550711340998532
rayokota/kcache,200,1,200,1,5.658741880000889
renan-schmitt/spring-boot-jooq,200,1,200,1,5.608344256001146
rench/scio,200,1,200,1,5.570773368999653
reportportal/commons-dao,200,1,200,32,75.08423269699779
revensif/Tinkoff_Course2024,200,1,200,5,7.845395807999012
rockmanck/lifebook,200,1,200,7,14.880233902000327
rodano/rodano,200,1,200,50,70.55512261800322
rogoo/java-raiz,200,1,200,2,7.9035090140023385
romchellis/transactions,200,1,200,2,7.145498623001913
rzenkov/perfplayground,200,1,200,4,6.690091098000266
s3nkyh/Library,200,1,200,4,9.096491023999988
saksonikEgor/java-course-2023-backend-template-master,200,1,200,4,6.636673039000016
saltybots/secretsalty-backend-j,200,1,200,3,5.629224068998155
sayseakleng/template,200,1,200,1,4.416311525998026
sdumancic/quarkus-template,200,1,200,1,6.381772882003133
sebastian-raubach/frickl-web-server,200,1,200,5,26.427242426001612
self-xdsd/self-storage,200,1,200,10,26.750017192000087
serdeliverance/turro-lingo-api,200,1,200,3,5.589894687000196
serje3/BotDiscordBackend,200,1,200,7,12.782329970999854
sfk25/annually_report,200,1,200,6,17.53814121799951
sge93/jooq-testcontainers-demo,200,1,200,2,4.57607378800094
shengquan-ni/reshape-on-amber,200,2,200,2,19.30601423400003
shev-81/jooqtest,200,1,200,2,8.92251508100162
shileishmily/spring-boot-jooq-demo,200,1,200,1,14.077964772000996
shilohooo/learn-jooq,200,3,200,4,19.376630719001696
sify21/testjooq,200,1,200,1,14.28098203099944
sikt-no/graphitron,200,1,200,78,51.351112497999566
sim1984/fbjavaex,200,1,200,5,10.411258308002289
sjucker/mvu-platform,200,1,200,10,24.34998259400163
sjucker/referee-coach-probasket,200,1,200,4,20.10790592400008
sjucker/zkmf2024-server,200,1,200,14,47.498286547001044
skapral/poetryclub,200,1,200,4,17.87473082499855
skyleedevzero86/Spring_lee_Module,200,1,200,4,12.258300515000883
smartywebdev0119/springsecurity-top,200,1,200,3,4.2631399009987945
smix22/kitaplan,200,1,200,1,6.9026553290023
smockoro/spring-boot-java-jooq,200,1,200,1,5.769367493998288
snhr-1019/task-app-example,200,1,200,3,7.616788854000333
sogeking7/booking-hotel-app,200,1,200,14,28.072702609999396
sogeking7/hacknu-25-zaman-bank-ai-app,200,1,200,15,20.007723302001978
sokolovskayaa/tinkoff-project,200,1,200,4,7.962870265000674
sooogle/micronaut-petclinic,200,1,200,1,8.127867170998798
spacedragon/dgit,200,1,200,2,13.42690600700007
spectuu/equipo-4-ings-202520,200,1,200,8,13.4127862489986
ssydx/django_wesite,200,1,200,1,4.146539307999774
streamarr/streamarr-server,200,1,200,1,12.41933828299807
stukenvitalii/TinkoffBot,200,1,200,2,6.4694526990024315
sun-fintrack/fintrack-back,200,1,200,6,9.284264881000126
svp8/java-course-2024,200,1,200,8,13.635659527997632
sweatboys/open-discogs-api,200,1,200,6,13.895145534999756
sylvan-tang/auro,200,1,200,2,5.121337161999691
synonymdev/vss-server,200,1,200,3,4.020501143000729
t3hw/mhn,200,1,200,1,4.1930339179998555
tanjezh/spring-demos,200,3,200,7,19.152760420998675
tapis-project/tapis-apps,200,1,200,1,5.84779681800137
tapis-project/tapis-files,200,1,200,1,16.540265215000545
tapis-project/tapis-notifications,200,1,200,1,17.52408459400249
tapis-project/tapis-systems,200,1,200,1,18.259636810998927
tariqkb/justweighit,200,1,200,12,8.141272917000606
teragrep/pth_06,200,3,200,15,20.935669263999444
the-programmers-hangout/Mimic,200,1,200,6,9.190303501000017
therepanic/hr-masters-service,200,1,200,3,7.518715645001066
therepanic/lapayment-crypto-pay-system,200,1,200,5,11.248205357998813
therepanic/lapayment-crypto-payment-system-microservices,200,5,200,9,31.633979002999695
therepanic/trustwin-casino-project,200,7,200,15,52.81305506900026
theronielanddaronpodcastshow/svja,200,1,200,5,13.536793120998482
thomascherickal/hedera-stable-coin,200,1,200,1,22.929802586000733
tmtsoftware/aps-procedure-read-benchmarking,200,1,200,1,4.881879623000714
toannv6895/searchable,200,1,200,1,5.651460888002475
truonghq99/adam-project,200,1,200,2,3.780680494997796
tsemkaloalena-mirea/vk_education,200,3,200,16,12.35848329199871
tsoyolv/transfer-money,200,1,200,3,9.121271805997822
tw-bc-group/tw-wallet-backend,200,2,200,12,23.696441574000346
tyomamatrosov/MatrosovAS,200,1,200,2,6.030566697998438
uianz/webflux-jooq-r2dbc-starter,200,1,200,1,4.366135920001398
ultrapotato69/genealogy-back,200,1,200,2,5.420637578001333
unlessiamwrong/Tinkoff-Java-course-2,200,1,200,5,9.50816806900184
uptosmth/chronos,200,1,200,7,7.023432673999196
utfunderscore/buildformat,200,1,200,1,7.499490310998226
uvuv-643/Service_Oriented_Architecture,200,4,200,4,18.966043290001835
vbandurin7/update-listener-bot,200,1,200,5,7.53984476000187
vendelieu/spring-template,200,1,200,1,4.195533106001676
vinniec4/fantasy-football,200,1,200,2,5.93957145099921
vkuzel/Quantum-Leap,200,1,200,18,21.220367072000954
vladislav77777/java-backend-course,200,1,200,4,8.838404365000315
voidframework/voidframework,200,1,200,5,6.785081824000372
volvas/courses,200,1,200,5,7.464577965998615
vran-dev/databasir,200,1,200,27,81.7419257900001
warhog/fpvlaptracker,200,1,200,6,9.993839135000599
waydxd/COMP3111-Project,200,1,200,7,28.8552808860004
wbprime/java-mods,200,2,200,9,9.07330817500042
web3brothers/aleo-network-info,200,1,200,2,6.631498655999167
whizvox/wsite,200,1,200,4,9.730801188998157
whxu215/jooq-springboot-example-junit,200,1,200,5,7.088710087999061
wuda0112/foundation,200,6,200,7,58.592383884999435
wuhunyu/jooq-transaction,200,1,200,2,6.8818056829986745
wujihulian/filesbox,200,2,200,29,90.05573161400025
xGodness/service-oriented-architecture,200,1,200,4,10.058915893998346
xJade00/TavernMaid,200,1,200,6,8.72959027899924
xdnw/Diplocutus,200,5,200,2,52.62594992400045
xdnw/locutus,200,5,200,2,55.753957843000535
xinxiamu/mu-spring-boot-sample,200,1,200,3,10.167784887999005
xnelo/filearch,200,1,200,2,10.887672423999902
yangjinguang/i-share-server,200,1,200,11,47.391209126999456
yaowei-u/kafka,200,1,200,4,13.07373598200138
ydb-platform/ydb-java-dialects,200,1,200,1,56.565792462999525
ydeng11/Minance,200,1,200,7,15.807671417001984
yichunzhao/jooq-dao,200,1,200,1,3.8011614390015893
yihaozhong/BuyUp,200,1,200,4,7.511671678999846
yilmazorhan/smallapps.tips,200,1,200,4,6.036044100001163
yiminyangguang520/Java-Learning,200,1,200,3,9.93954847400164
young0264/jungsuri,200,1,200,12,26.417051450000145
youngzil/quickstart-database,200,2,200,1,8.48353071299789
yuizho/spring-sandbox,200,1,200,1,3.8387368350013276
yuzhongyousida/zipkin,200,1,200,13,22.539868648000265
zangzang/java-test,200,1,200,8,12.809515272998397
zero-ws/zero-ecotope,200,14,200,12,319.3364729249988
zhengqingya/java-workspace,200,1,200,1,4.387266526999156
zhengzizhe/agent_demo,200,1,200,26,35.470531692000804
zhouzhaodong/springboot,200,1,200,1,3.9015561289998004
zhuyb0614/graph-batis,200,1,200,6,10.440711454000848
zigzag191/java-backend-course-2024,200,1,200,3,7.42504081199877
zjxkenshine/codedemo,200,1,200,1,7.148737249997794
zodac-personal/folding-stats,200,1,200,1,17.060256603999733
