name,response_code,result_count,response_code2,result_count2,analysis_runtime
JixinZhang19/Online-Shopping-System-for-Black-Friday,200,7,200,8,9.502922953000052
JohannesRabauer/hibernate-vs-jooq,200,1,200,3,3.5068385559998205
Jominjong/mjjo-test-project,200,1,200,3,8.48339387500073
KEN3pei/oauth-hands-on,200,2,200,6,21.27775391399973
KGjertsson/macro-hub,200,1,200,12,86.83773822600051
Karthik1226/onedata_patient,200,1,200,5,24.97309960300117
Kazuuma-19/nippogen,200,1,200,4,12.685436229001423
Kirill06344/TinkoffWebApplication,200,1,200,4,9.574079690000872
KirillSakira/link-tracker,200,1,200,4,7.728771083000538
KittyBot-Org/KittyBot,200,1,200,1,25.58066151300045
Knicksaas/gourmet-gate,200,1,200,11,18.853424828999778
KyleGuanDP/Assignment4,200,1,200,2,7.706931377000728
LARCH1K/LinkTracker-Bot,200,1,200,3,11.43380190300013
LalisaST/java_course_2,200,1,200,3,8.136715667998942
LeHa2505/OnThiService,200,1,200,23,32.04271268299999
LiangChenDLJ/VIPManager,200,1,200,8,14.030579848000343
LianjiaTech/bella-assistants,200,1,200,12,33.523069292999935
LianjiaTech/bella-knowledge,200,1,200,6,39.53961796800104
LianjiaTech/bella-openapi,200,1,200,10,54.42297152100036
LianjiaTech/bella-workflow,200,1,200,8,64.34337265499926
Link-Profit-System/java_mvvm,200,1,200,2,17.633490762000292
LintaoAmons/java-jooq-runable-code,200,1,200,4,9.947617779998836
LogDS/SimulatorOrchestrator,200,2,200,48,67.73963361699862
LucidMinded/java-course-2023-backend,200,1,200,7,7.937209962999987
M1nsong-Kim/practice-jooq,200,1,200,2,8.582611297999392
MAK-Cpp/backend-java-s2,200,1,200,4,7.081782882998596
MIZINCHIK/java-course-2023-backend,200,1,200,5,6.933343118998891
Macbeth-Klm/Tinkoff-java-course-2024,200,1,200,4,7.721652674999859
Maczi01/sockets,200,1,200,5,6.829951650001021
MahjongRepository/YagiMotel,200,1,200,1,4.178853909999816
Malest-GmbH-Co-KG/Prog_3_Projektarbeit,200,1,200,9,12.289328038999884
MarinaBiryukova/tinkoff-java,200,1,200,4,9.671621458001027
MaroderKo/parts_shop,200,1,200,1,6.769470191999062
Mateuzz/music-website-spring,200,1,200,1,8.445035528999142
MaxZhukoff/tinkoff-bot,200,1,200,2,6.187784573001409
Missssha/Tinkofff-Back,200,1,200,2,11.730083077000018
Molzonas/EkEep,200,1,200,3,15.295884375000242
MyP99999/NewsAggregatorBackend,200,1,200,4,11.145809953000937
Mykindos/BetterPvP,200,6,200,15,64.32176293900011
NaspoDev/url-shortener,200,1,200,2,4.354090942000767
NastyaLush/java-course-2024-backend,200,1,200,3,6.926725841000007
Ne1loff/OnboardingPlatform,200,1,200,3,12.659421633999957
Neonik-dev/Update-Tracker-Bot,200,1,200,7,9.601146401999358
NevinTure/java-course-2024,200,1,200,9,10.090916197999832
Nick-552/link-tracker,200,1,200,7,8.040178343999287
NurtilekMamashakirov/Bot-Link-Tracker,200,1,200,2,9.220842018001347
Nyrheim/PenAndPaper,200,1,200,1,7.857601370000339
OAGi/Score,200,2,200,104,238.02452039000127
Online-Tutoring-Application-Team-11/backend-rest-API-service,200,1,200,5,29.176237319999927
Origin-Masters/Cantine-Planner,200,1,200,3,19.36647675999848
Ovoshchko/BackendTinkoffJavaSpring,200,2,200,6,12.21459232899906
PKNU-CERT-IS/BE,200,1,200,60,64.68093469300038
Pa11ady/java-link-tracker,200,1,200,2,6.942324894000194
Pacan4ik/tinkoff-course-spring2023,200,1,200,7,6.951984969999103
ParadiseSS13/TaskDaemon,200,5,200,7,260.6824029729996
PathmindAI/pathmind-webapp,200,1,200,32,33.67788227100027
PonomarevAlexxander/telegram-notifier,200,1,200,4,7.155169289000696
Programming-Org/Programming,200,1,200,1,6.081891821000681
Prohkit/java-backend-course-2-link-tracker,200,1,200,5,11.595103432000542
ProstaOlga/prostaBot,200,1,200,3,16.998116742001002
Puru80/food-ordering-system,200,1,200,1,6.70246971800043
QuantuM1o1/Tinkoff2024Homeworks,200,1,200,5,9.633766594000916
Raha089/oops,200,1,200,2,5.3905222339999455
Reazzzz/oosp-zadanya,200,1,200,2,5.630079402000774
Rohan-flutterint/texera,200,2,200,2,19.06862040300075
RomanZozuliauniversity/Javacourework,200,1,200,6,17.32829733699873
RuslanAndrianov/Backend-Java-Tinkoff-Spring-2024,200,1,200,4,7.018142302000342
RuslanHkmoff/java-backend-course,200,1,200,3,5.425118453998948
SOmegaS/financial-tracker,200,1,200,1,6.5365694720003376
Saiyan1/tl-challenge,200,1,200,2,7.37703385200075
SavageSyrop/VK-courses,200,3,200,5,15.311444576000213
ShaDi777/java-course-2024-backend,200,1,200,4,9.527207015000386
ShakurDmitrii/inline,200,1,200,2,7.564941356000418
SightStudio/blog-code,200,1,200,15,27.98068449499988
SleepwalkerPasha/egorov_pa_project,200,1,200,3,6.825171006001256
SlideHehe/java-backend-course-2,200,1,200,3,10.936209032999614
SmallWorlds-Forever/sw-streaming,200,6,200,9,94.39526790700074
SoylentBob/jooq-mock,200,1,200,5,5.845922257998609
Space27/JavaBackendSpring,200,1,200,5,9.671787682000286
Stasik371/LinkTrackingBot,200,1,200,4,7.74185878299977
StubbornJava/StubbornJava,200,1,200,4,12.853787891999673
Stumpwiz/mrradb,200,1,200,2,8.47304466300011
Subtelny/DGCraft,200,1,200,20,15.38329614199938
TaitoUnited/full-stack-template,200,1,200,3,12.121173929999712
TerraByteDev/SkyFactionsReborn,200,1,200,17,19.05099032200087
TheLQ/forum-scraper,200,1,200,1,18.29219315699993
Thee5176/SpringBoot_CQRS_Command,200,2,200,4,11.013692513999558
Thee5176/SpringBoot_CQRS_Query,200,2,200,6,17.895727092000016
Thulasidharreddy/task-service,200,3,200,1,7.699680793999505
Tiltuem/tinkoff-java-course-2024,200,1,200,6,9.1158877809994
TivM/Tinkoff-Project,200,1,200,5,4.76439861200015
Tosin-dotcom/notez-backend,200,1,200,4,8.879633544998796
TovarischZhukov/jooq_example,200,1,200,9,11.11475489500117
