name,response_code,result_count,response_code2,result_count2
MarinaBiryukova/tinkoff-java,200,1,200,4
MaroderKo/parts_shop,200,1,200,1
Mateuzz/music-website-spring,200,1,200,1
MaxZhukoff/tinkoff-bot,200,1,200,2
Missssha/Tinkofff-Back,200,1,200,2
Molzonas/EkEep,200,1,200,3
MyP99999/NewsAggregatorBackend,200,1,200,4
Mykindos/BetterPvP,200,6,200,15
NaspoDev/url-shortener,200,1,200,2
NastyaLush/java-course-2024-backend,200,1,200,3
Ne1loff/OnboardingPlatform,200,1,200,3
Neonik-dev/Update-Tracker-Bot,200,1,200,7
NevinTure/java-course-2024,200,1,200,9
Nick-552/link-tracker,200,1,200,7
NurtilekMamashakirov/Bot-Link-Tracker,200,1,200,2
Nyrheim/PenAndPaper,200,1,200,1
OAGi/Score,200,2,200,104
Online-Tutoring-Application-Team-11/backend-rest-API-service,200,1,200,5
Origin-Masters/Cantine-Planner,200,1,200,3
Ovoshchko/BackendTinkoffJavaSpring,200,2,200,6
PKNU-CERT-IS/BE,200,1,200,60
Pa11ady/java-link-tracker,200,1,200,2
Pacan4ik/tinkoff-course-spring2023,200,1,200,7
ParadiseSS13/TaskDaemon,200,5,200,7
PathmindAI/pathmind-webapp,200,1,200,32
PonomarevAlexxander/telegram-notifier,200,1,200,4
Programming-Org/Programming,200,1,200,1
Prohkit/java-backend-course-2-link-tracker,200,1,200,5
ProstaOlga/prostaBot,200,1,200,3
Puru80/food-ordering-system,200,1,200,1
QuantuM1o1/Tinkoff2024Homeworks,200,1,200,5
Raha089/oops,200,1,200,2
Reazzzz/oosp-zadanya,200,1,200,2
Rohan-flutterint/texera,200,2,200,2
RomanZozuliauniversity/Javacourework,200,1,200,6
RuslanAndrianov/Backend-Java-Tinkoff-Spring-2024,200,1,200,4
RuslanHkmoff/java-backend-course,200,1,200,3
SOmegaS/financial-tracker,200,1,200,1
Saiyan1/tl-challenge,200,1,200,2
SavageSyrop/VK-courses,200,3,200,5
ShaDi777/java-course-2024-backend,200,1,200,4
ShakurDmitrii/inline,200,1,200,2
SightStudio/blog-code,200,1,200,15
SleepwalkerPasha/egorov_pa_project,200,1,200,3
SlideHehe/java-backend-course-2,200,1,200,3
SmallWorlds-Forever/sw-streaming,200,6,200,9
SoylentBob/jooq-mock,200,1,200,5
Space27/JavaBackendSpring,200,1,200,5
Stasik371/LinkTrackingBot,200,1,200,4
StubbornJava/StubbornJava,200,1,200,4
Stumpwiz/mrradb,200,1,200,2
Subtelny/DGCraft,200,1,200,20
TaitoUnited/full-stack-template,200,1,200,3
TerraByteDev/SkyFactionsReborn,200,1,200,17
TheLQ/forum-scraper,200,1,200,1
Thee5176/SpringBoot_CQRS_Command,200,2,200,4
Thee5176/SpringBoot_CQRS_Query,200,2,200,6
Thulasidharreddy/task-service,200,3,200,1
Tiltuem/tinkoff-java-course-2024,200,1,200,6
TivM/Tinkoff-Project,200,1,200,5
Tosin-dotcom/notez-backend,200,1,200,4
TovarischZhukov/jooq_example,200,1,200,9
TranNgocKhoa/play-framework-java-jooq-example,200,1,200,1
TunixR/HarmonyAPI,200,1,200,33
UKEIAM/de.uke.iam.parkinson_on_fhir,200,1,200,5
UniCodeProjects/AmusementParkDB,200,1,200,1
Unite-Organisation/Unite,200,1,200,22
VadymOselskyi/airlines-booking,200,1,200,8
VictorGalkevich/LinkScrapper,200,1,200,6
ViktoriaGub/Object-oriented-programming-systems,200,1,200,2
VladimirMorozov/orm-playground,200,1,200,3
VoroninEgor/TgBot-LinkTracker,200,1,200,3
Wani4ka/tcs-edu-task,200,1,200,4
WolfOfBad/TinkoffJavaCourse2024,200,1,200,3
YaroslavChetskiy/tinkoff_course_backend_part,200,1,200,8
Yer12/tastamat,200,1,200,11
YuliaKrav/WebContentUpdateService,200,1,200,3
Yuno-obsessed/jodrive,200,2,200,14
ZanottiMatteo/BGTransports,200,2,200,11
ZebdaYacine/demofx,200,2,200,1
ZsgsDesign/openvsx,200,1,200,5
ZwierzchowskiM/Client-Server,200,1,200,2
aabarmin/telegram-bots,200,1,200,3
aahlenst/jOOQ-mcve-json-quoting,200,6,200,7
aceton41k/java-test-framework,200,1,200,3
activej/activej,200,1,200,3
aerius/emission-service,200,3,200,3
agibalov/java-library-experiments,200,1,200,3
akozitsin-hh/hh-jooq-intro,200,1,200,2
aleckbb/tracking-bot,200,1,200,3
aleksseii/TradingOperations,200,1,200,4
alexxiuccia/TrackMe,200,1,200,9
alipay/container-auto-tune,200,1,200,6
alpa011235/sandbox,200,1,200,1
altusea/wpg,200,1,200,1
alvin-qh/study-java,200,1,200,10
amalrajvinoth/jooq-optimistic-locking,200,1,200,2
anpol84/java-course-2024,200,1,200,5
anyamilichenko/soa,200,2,200,3
aplygen/j13n-saas,200,1,200,3
arhostcode/linktracker,200,1,200,3
arijit98/RestaurentManagementService,200,1,200,3
arnaudroger/SimpleFlatMapper,200,1,200,11
artemius39/java-backend-2024,200,1,200,5
articles-simbirsoft/JOOQ-use-in-testing,200,1,200,2
artseroff/link-tracker,200,1,200,6
